ID,Institution,Deg_Prog,Semester,Age,Gender,Mother_Tong,No_of_Lang,Spk_prof_Urdu,Spk_prof_Eng,Spk_prof_Pash,Spk_prof_Balo,Spk_prof_Brah,Spk_prof_Sind,Spk_prof_Sara,Spk_prof_Pers,Spk_prof_Punj,Spk_prof_Hind,Spk_prof_Other,NameOtherLang,Lang_Aca_Ex,Sp_Slf_As,Rd_Slf_As,Wr_Slf_As,Lis_Slf_As,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,item36,Item37,Item38,Item39,Item40,Item41,Item42,Item43,Item44,Item45,Item46,Item47,Item48,Item49,Item50,Item51,Item52,Item53,Item54
043,3,10,1,19,2,4,3,1,1,1,0,0,0,0,0,0,0,0, ,1,2,11,1,1,6,5,7,7,6,2,7,6,7,6,6,6,6,6,6,2,6,1,7,6,4,6,6,2,6,6,2,6,6,7,7,7,6,6,7,1,7,6,1,6,6,1,7,7,7,6,1,6,6,7,1,7,7,1
044,3,10,1,19,2,2,6,1,1,0,1,1,1,0,0,1,0,0, ,0,2,1,1,1,2,6,7,7,6,2,7,4,7,6,1,6,6,2,2,6,4,2,6,6,7,6,6,4,7,1,4,7,6,7,7,7,6,2,7,6,7,6,7,6,7,2,7,7,6,6,6,6,4,1,7,7,6,6
045,3,9,7,22,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,0,3,1,2,2,6,2,7,2,6,2,7,4,7,6,7,7,7,6,7,6,7,5,7,6,7,6,7,7,7,6,2,7,6,7,7,7,6,6,7,1,7,5,7,5,7,7,7,6,7,6,6,7,1,7,6,7,7,4
046,3,9,5,999,2,2,4,1,1,0,1,1,0,0,0,0,0,0, ,1,2,11,2,2,5,2,5,5,5,2,5,6,7,3,5,6,6,1,6,999,2,2,4,5,2,5,5,6,5,999,2,6,6,2,2,5,7,2,4,5,5,2,6,4,3,999,4,5,5,2,5,999,4,4,5,2,5,4
047,3,9,7,21,2,4,4,1,1,0,0,0,1,0,0,1,0,0, ,0,2,2,2,2,6,6,7,5,7,4,5,7,6,3,1,2,6,4,6,7,5,7,7,6,4,7,7,5,5,2,2,5,6,2,4,6,7,2,7,5,6,4,2,4,7,3,6,4,2,6,7,6,6,2,5,7,6,7
048,3,9,5,999,2,8,4,1,1,0,0,0,1,0,0,0,1,0, ,1,22,2,2,2,1,7,1,5,6,3,4,5,6,1,5,5,6,2,6,2,2,6,6,6,4,3,2,3,7,6,3,4,5,2,2,5,7,2,4,2,5,3,2,2,4,2,999,5,2,2,4,6,4,5,4,5,6,4
049,3,9,5,999,2,1,4,1,1,1,1,0,0,0,0,0,0,0, ,1,2,1,2,1,5,2,5,5,6,1,5,2,5,1,6,5,2,1,6,999,2,2,4,5,2,5,5,5,6,2,1,2,5,2,2,5,7,2,4,2,5,5,2,2,4,2,4,5,2,2,4,6,4,5,2,4,2,2
050,3,9,5,20,2,11,4,1,1,0,0,1,1,0,0,0,0,0, ,0,999,999,999,999,6,2,1,1,6,2,1,6,6,1,2,6,6,2,1,1,1,2,6,2,2,6,6,6,2,3,2,4,2,2,6,6,6,2,5,4,2,6,1,3,7,6,3,4,3,3,6,6,2,3,4,999,6,6
051,3,9,5,23,2,999,999,1,1,0,1,1,0,0,0,0,0,0, ,1,2,2,2,1,7,1,7,6,7,2,7,7,6,2,6,7,6,2,7,7,7,1,7,7,6,7,7,6,7,7,2,6,4,6,7,7,7,6,6,6,7,6,1,7,7,7,6,6,7,6,5,6,5,5,6,6,7,7
052,3,9,7,22,2,2,4,1,1,0,1,1,0,0,0,0,0,0, ,1,3,1,2,1,7,6,7,5,7,2,7,3,7,1,6,7,7,2,6,5,7,6,7,7,7,7,7,7,7,6,1,7,7,6,7,6,7,7,6,6,7,7,7,6,7,7,6,7,7,7,6,5,5,7,6,6,7,6
